'CONTROLE DE FIGURINHAS'        y=79.4  x=137.2
'QAT5'                          y=309.6  x=276.7
'QAT6'                          y=309.6  x=311.1
'QAT7'                          y=309.6  x=345.6
'QAT8'                          y=309.6  x=380.0
'QAT9'                          y=309.6  x=414.5
'QAT10'                         y=309.6  x=446.4
'QAT11'                         y=309.6  x=480.8
'QAT12'                         y=309.6  x=515.3
'QAT13'                         y=309.6  x=549.7
'QAT14'                         y=309.6  x=584.2
'QAT15'                         y=309.6  x=618.6
'QAT16'                         y=309.6  x=653.1
'QAT17'                         y=309.6  x=687.5
'QAT18'                         y=309.6  x=722.0
'QAT19'                         y=309.6  x=756.4
'QAT20'                         y=309.6  x=790.8
'Suíça'                         y=323.5  x=54.2
'SUI1'                          y=324.5  x=140.2
'SUI2'                          y=324.5  x=174.6
'SUI3'                          y=324.5  x=209.0
'SUI4'                          y=324.5  x=243.5
'SUI5'                          y=324.5  x=277.9
'SUI6'                          y=324.5  x=312.4
'SUI7'                          y=324.5  x=346.8
'SUI8'                          y=324.5  x=381.3
'SUI9'                          y=324.5  x=415.7
'SUI10'                         y=324.5  x=447.6
'SUI11'                         y=324.5  x=482.1
'SUI12'                         y=324.5  x=516.5
'SUI13'                         y=324.5  x=550.9
'SUI14'                         y=324.5  x=585.4
'SUI15'                         y=324.5  x=619.8
'SUI16'                         y=324.5  x=654.3
'SUI17'                         y=324.5  x=688.7
'SUI18'                         y=324.5  x=723.2
'SUI19'                         y=324.5  x=757.6
'SUI20'                         y=324.5  x=792.1
'Brasil'                        y=339.7  x=54.2
'BRA1'                          y=340.7  x=138.8
'BRA2'                          y=340.7  x=173.3
'BRA3'                          y=340.7  x=207.8
'BRA4'                          y=340.7  x=242.2
'BRA5'                          y=340.7  x=276.6
'BRA6'                          y=340.7  x=311.1
'BRA7'                          y=340.7  x=345.5
'BRA8'                          y=340.7  x=380.0
'BRA9'                          y=340.7  x=414.4
'BRA10'                         y=340.7  x=446.3
'BRA11'                         y=340.7  x=480.8
'BRA12'                         y=340.7  x=515.2
'BRA13'                         y=340.7  x=549.6
'BRA14'                         y=340.7  x=584.1
'BRA15'                         y=340.7  x=618.5
'BRA16'                         y=340.7  x=652.9
'BRA17'                         y=340.7  x=687.4
'BRA18'                         y=340.7  x=721.8
'BRA19'                         y=340.7  x=756.3
'BRA20'                         y=340.7  x=790.7
'C'                             y=352.8  x=27.0
'Marrocos'                      y=354.9  x=54.2
'MAR1'                          y=355.9  x=138.0
'MAR2'                          y=355.9  x=172.4
'MAR3'                          y=355.9  x=206.9
'MAR4'                          y=355.9  x=241.4
'MAR5'                          y=355.9  x=275.8
'MAR6'                          y=355.9  x=310.2
'MAR7'                          y=355.9  x=344.7
'MAR8'                          y=355.9  x=379.1
'MAR9'                          y=355.9  x=413.5
'MAR10'                         y=355.9  x=445.5
'MAR11'                         y=355.9  x=480.0
'MAR12'                         y=355.9  x=514.4
'MAR13'                         y=355.9  x=548.8
'MAR14'                         y=355.9  x=583.3
'MAR15'                         y=355.9  x=617.8
'MAR16'                         y=355.9  x=652.2
'MAR17'                         y=355.9  x=686.6
'MAR18'                         y=355.9  x=721.1
'MAR19'                         y=355.9  x=755.5
'MAR20'                         y=355.9  x=789.9
'Haiti'                         y=370.2  x=54.2
'HAI1'                          y=371.2  x=139.9
'HAI2'                          y=371.2  x=174.3
'HAI3'                          y=371.2  x=208.8
'HAI4'                          y=371.2  x=243.2
'HAI5'                          y=371.2  x=277.7
'HAI6'                          y=371.2  x=312.1
'HAI7'                          y=371.2  x=346.5
'HAI8'                          y=371.2  x=381.0
'HAI9'                          y=371.2  x=415.5
'HAI10'                         y=371.2  x=447.4
'HAI11'                         y=371.2  x=481.8
'HAI12'                         y=371.2  x=516.2
'HAI13'                         y=371.2  x=550.7
'HAI14'                         y=371.2  x=585.1
'HAI15'                         y=371.2  x=619.6
'HAI16'                         y=371.2  x=654.0
'HAI17'                         y=371.2  x=688.4
'HAI18'                         y=371.2  x=722.9
'HAI19'                         y=371.2  x=757.3
'HAI20'                         y=371.2  x=791.7
'Escócia'                       y=385.0  x=54.2
'SCO1'                          y=386.0  x=138.0
'SCO2'                          y=386.0  x=172.5
'SCO3'                          y=386.0  x=206.9
'SCO4'                          y=386.0  x=241.3
'SCO5'                          y=386.0  x=275.7
'SCO6'                          y=386.0  x=310.2
'SCO7'                          y=386.0  x=344.7
'SCO8'                          y=386.0  x=379.1
'SCO9'                          y=386.0  x=413.6
'SCO10'                         y=386.0  x=445.4
'SCO11'                         y=386.0  x=479.9
'SCO12'                         y=386.0  x=514.4
'SCO13'                         y=386.0  x=548.8
'SCO14'                         y=386.0  x=583.2
'SCO15'                         y=386.0  x=617.7
