code,group,num,collected,white_fraction,avg_r,avg_g,avg_b
MAR9,MAR,9,yes,0.0932,117,213,241
MAR10,MAR,10,no,0.8235,239,242,243
MAR11,MAR,11,yes,0.0533,114,214,241
MAR12,MAR,12,no,0.8926,245,245,245
MAR13,MAR,13,no,0.884,243,243,243
MAR14,MAR,14,no,0.8884,243,243,243
MAR15,MAR,15,no,0.8838,243,243,243
MAR16,MAR,16,no,0.8817,242,242,242
MAR17,MAR,17,no,0.8691,240,242,242
MAR18,MAR,18,no,0.85,240,242,243
MAR19,MAR,19,yes,0.0036,88,206,239
MAR20,MAR,20,no,0.8811,243,243,243
MEX1,MEX,1,yes,0.0,79,202,238
MEX2,MEX,2,no,0.862,241,241,241
MEX3,MEX,3,no,0.8526,240,240,240
MEX4,MEX,4,no,0.8455,240,240,240
MEX5,MEX,5,no,0.8511,239,239,239
MEX6,MEX,6,no,0.8495,240,240,240
MEX7,MEX,7,yes,0.0,98,208,238
MEX8,MEX,8,yes,0.0,87,203,237
MEX9,MEX,9,yes,0.0291,104,208,236
MEX10,MEX,10,yes,0.6146,212,234,240
MEX11,MEX,11,no,0.8569,241,242,242
MEX12,MEX,12,yes,0.0837,130,214,238
MEX13,MEX,13,no,0.8506,240,240,240
MEX14,MEX,14,yes,0.0,101,209,238
MEX15,MEX,15,yes,0.0027,96,206,236
MEX16,MEX,16,yes,0.0,95,205,237
MEX17,MEX,17,no,0.807,234,239,240
MEX18,MEX,18,yes,0.0,93,205,238
MEX19,MEX,19,yes,0.0,99,206,237
MEX20,MEX,20,yes,0.0,85,202,237
NED1,NED,1,no,0.8297,238,242,243
NED2,NED,2,yes,0.002,62,200,238
NED3,NED,3,yes,0.0,84,202,236
NED4,NED,4,yes,0.0,82,204,238
NED5,NED,5,yes,0.0242,76,199,236
NED6,NED,6,yes,0.0,59,193,235
NED7,NED,7,yes,0.0,62,198,236
NED8,NED,8,yes,0.0,78,201,237
NED9,NED,9,yes,0.0,56,197,235
NED10,NED,10,yes,0.0724,111,211,238
NED11,NED,11,no,0.8527,239,240,240
NED12,NED,12,yes,0.0,71,201,237
NED13,NED,13,no,0.8542,242,242,242
NED14,NED,14,yes,0.0,87,203,237
NED15,NED,15,yes,0.0674,95,206,236
NED16,NED,16,no,0.8542,242,242,242
NED17,NED,17,yes,0.133,140,217,238
NED18,NED,18,no,0.8505,238,238,238
NED19,NED,19,yes,0.1075,132,215,239
NED20,NED,20,no,0.8427,240,241,241
NOR1,NOR,1,yes,0.0211,86,207,242
NOR2,NOR,2,yes,0.0,89,209,243
NOR3,NOR,3,no,0.8727,242,244,244
NOR4,NOR,4,yes,0.0217,92,210,242
NOR5,NOR,5,no,0.7935,232,241,243
NOR6,NOR,6,yes,0.0,111,213,241
NOR7,NOR,7,no,0.8991,245,245,245
NOR8,NOR,8,yes,0.0221,105,212,241
NOR9,NOR,9,no,0.8677,241,243,243
NOR10,NOR,10,yes,0.0121,109,214,242
NOR11,NOR,11,no,0.8978,246,247,247
NOR12,NOR,12,yes,0.0238,103,211,241
NOR13,NOR,13,no,0.9122,246,246,246
NOR14,NOR,14,no,0.8795,243,245,245
NOR15,NOR,15,yes,0.0174,86,207,240
NOR16,NOR,16,yes,0.0157,77,205,242
NOR17,NOR,17,no,0.9112,245,245,245
NOR18,NOR,18,no,0.8537,238,242,243
NOR19,NOR,19,yes,0.0096,90,210,242
NOR20,NOR,20,no,0.9098,244,244,244
NZL1,NZL,1,yes,0.016,101,213,245
NZL2,NZL,2,no,0.9356,249,249,249
NZL3,NZL,3,yes,0.0,110,215,243
NZL4,NZL,4,yes,0.0,108,216,245
NZL5,NZL,5,yes,0.0042,95,210,242
NZL6,NZL,6,no,0.9197,246,246,246
NZL7,NZL,7,yes,0.0,103,215,245
NZL8,NZL,8,yes,0.0,98,211,242
NZL9,NZL,9,yes,0.0,88,208,242
NZL10,NZL,10,no,0.8835,244,247,247
NZL11,NZL,11,yes,0.0039,96,211,244
NZL12,NZL,12,yes,0.0274,112,215,243
NZL13,NZL,13,no,0.9264,248,248,248
NZL14,NZL,14,yes,0.001,106,214,244
NZL15,NZL,15,yes,0.0,73,207,243
NZL16,NZL,16,yes,0.0461,93,211,244
NZL17,NZL,17,yes,0.0686,102,212,242
NZL18,NZL,18,yes,0.1096,97,208,241
NZL19,NZL,19,yes,0.0911,95,211,245
NZL20,NZL,20,yes,0.0,84,207,243
PAN1,PAN,1,yes,0.0008,64,203,242
PAN2,PAN,2,no,0.9222,247,247,247
PAN3,PAN,3,yes,0.0201,67,205,243
PAN4,PAN,4,yes,0.0124,105,212,242
PAN5,PAN,5,yes,0.0,63,202,243
PAN6,PAN,6,no,0.9015,245,246,246
PAN7,PAN,7,yes,0.0,82,207,242
PAN8,PAN,8,no,0.9094,246,246,246
PAN9,PAN,9,yes,0.0057,104,213,243
PAN10,PAN,10,no,0.9113,246,246,246
PAN11,PAN,11,yes,0.0033,104,213,243
PAN12,PAN,12,no,0.9181,246,246,246
PAN13,PAN,13,no,0.9116,246,246,246
PAN14,PAN,14,yes,0.0178,103,212,242
PAN15,PAN,15,no,0.915,246,246,246
PAN16,PAN,16,yes,0.0,90,210,242
PAN17,PAN,17,no,0.922,246,246,246
PAN18,PAN,18,yes,0.0,87,209,242
PAN19,PAN,19,no,0.9066,245,245,245
PAN20,PAN,20,yes,0.0,100,212,244
PAR1,PAR,1,no,0.8238,236,241,242
PAR2,PAR,2,yes,0.0118,118,215,241
PAR3,PAR,3,no,0.8629,241,243,243
PAR4,PAR,4,yes,0.0,107,211,240
PAR5,PAR,5,no,0.8822,242,242,242
PAR6,PAR,6,yes,0.0,88,207,240
PAR7,PAR,7,no,0.8159,234,240,242
PAR8,PAR,8,yes,0.0042,76,204,239
PAR9,PAR,9,yes,0.0,58,200,239
PAR10,PAR,10,yes,0.0,85,204,240
PAR11,PAR,11,no,0.8467,239,243,244
PAR12,PAR,12,no,0.8936,245,245,245
PAR13,PAR,13,no,0.8893,242,242,242
PAR14,PAR,14,yes,0.0,104,212,241
PAR15,PAR,15,no,0.7526,228,239,242
PAR16,PAR,16,yes,0.0,73,203,239
PAR17,PAR,17,no,0.8874,244,244,244
PAR18,PAR,18,yes,0.0249,104,210,239
PAR19,PAR,19,no,0.884,242,242,242
PAR20,PAR,20,yes,0.0,103,210,240
POR1,POR,1,yes,0.0773,113,210,238
POR2,POR,2,no,0.8584,241,241,241
POR3,POR,3,yes,0.0,69,201,236
POR4,POR,4,yes,0.0,41,187,236
POR5,POR,5,yes,0.002,41,188,235
POR6,POR,6,yes,0.0,67,201,237
POR7,POR,7,yes,0.0,92,206,238
POR8,POR,8,yes,0.0,71,200,236
POR9,POR,9,yes,0.0,100,208,238
POR10,POR,10,yes,0.0,71,200,237
POR11,POR,11,yes,0.0,98,209,239
POR12,POR,12,yes,0.0061,78,205,239
POR13,POR,13,no,0.8568,241,241,241
POR14,POR,14,yes,0.0,96,207,238
POR15,POR,15,yes,0.0,58,196,237
POR16,POR,16,yes,0.0,102,208,237
POR17,POR,17,yes,0.0181,77,203,238
POR18,POR,18,yes,0.0,30,183,236
POR19,POR,19,yes,0.0,51,194,236
POR20,POR,20,yes,0.0,100,208,237
QAT1,QAT,1,no,0.8657,238,238,238
QAT2,QAT,2,yes,0.0,101,206,235
QAT3,QAT,3,yes,0.0008,101,204,232
QAT4,QAT,4,no,0.8637,237,237,237
QAT5,QAT,5,yes,0.0812,107,205,232
QAT6,QAT,6,yes,0.0178,89,201,232
QAT7,QAT,7,yes,0.0,86,200,234
QAT8,QAT,8,yes,0.0,72,196,231
QAT9,QAT,9,no,0.8522,234,234,234
QAT10,QAT,10,yes,0.0,74,199,234
QAT11,QAT,11,no,0.75,220,232,235
QAT12,QAT,12,no,0.8659,236,236,236
QAT13,QAT,13,yes,0.001,68,198,234
QAT14,QAT,14,no,0.8611,236,236,236
QAT15,QAT,15,no,0.8589,235,235,235
QAT16,QAT,16,no,0.7806,230,235,236
QAT17,QAT,17,yes,0.0043,78,198,232
QAT18,QAT,18,no,0.8531,234,235,235
QAT19,QAT,19,yes,0.0,66,195,234
QAT20,QAT,20,yes,0.0,100,206,235
RSA1,RSA,1,yes,0.0,94,209,240
RSA2,RSA,2,yes,0.028,106,211,239
RSA3,RSA,3,no,0.8794,243,243,243
RSA4,RSA,4,no,0.8819,243,243,243
RSA5,RSA,5,no,0.864,241,242,242
RSA6,RSA,6,no,0.8796,243,243,243
RSA7,RSA,7,yes,0.0149,111,213,241
RSA8,RSA,8,no,0.8745,241,241,241
RSA9,RSA,9,no,0.8401,240,242,242
RSA10,RSA,10,yes,0.0,31,188,240
RSA11,RSA,11,yes,0.07,121,213,239
RSA12,RSA,12,yes,0.0,101,211,241
RSA13,RSA,13,no,0.8802,244,244,244
RSA14,RSA,14,no,0.8786,240,241,241
RSA15,RSA,15,yes,0.6299,213,235,241
RSA16,RSA,16,yes,0.0,71,200,239
RSA17,RSA,17,no,0.8851,242,242,242
RSA18,RSA,18,yes,0.0024,83,203,240
RSA19,RSA,19,yes,0.0215,107,212,241
RSA20,RSA,20,no,0.8806,243,243,243
SCO1,SCO,1,yes,0.0,103,212,242
SCO2,SCO,2,yes,0.0224,107,213,242
SCO3,SCO,3,no,0.8826,242,244,244
SCO4,SCO,4,no,0.9083,244,244,244
SCO5,SCO,5,yes,0.0201,106,213,242
SCO6,SCO,6,yes,0.031,107,212,242
SCO7,SCO,7,yes,0.0,92,209,242
SCO8,SCO,8,yes,0.0,94,209,241
SCO9,SCO,9,yes,0.0015,88,209,242
SCO10,SCO,10,yes,0.0003,78,204,242
SCO11,SCO,11,no,0.9182,247,247,247
SCO12,SCO,12,no,0.9192,246,246,246
SCO13,SCO,13,yes,0.0039,73,205,241
SCO14,SCO,14,no,0.919,245,245,245
SCO15,SCO,15,no,0.9104,245,245,245
SCO16,SCO,16,yes,0.0055,102,212,242
SCO17,SCO,17,no,0.9178,245,245,245
SCO18,SCO,18,yes,0.0022,76,207,242
SCO19,SCO,19,yes,0.0048,104,212,241
SCO20,SCO,20,no,0.9089,244,244,244
SEN1,SEN,1,yes,0.0094,91,208,240
SEN2,SEN,2,yes,0.0,54,194,239
SEN3,SEN,3,no,0.8459,237,240,241
SEN4,SEN,4,no,0.8759,242,242,242
SEN5,SEN,5,yes,0.0134,103,210,240
SEN6,SEN,6,yes,0.051,105,209,238
SEN7,SEN,7,no,0.8796,242,243,243
SEN8,SEN,8,no,0.8734,242,242,242
SEN9,SEN,9,yes,0.0241,102,208,238
SEN10,SEN,10,yes,0.0724,102,210,240
SEN11,SEN,11,no,0.856,240,242,242
SEN12,SEN,12,yes,0.0162,88,207,240
SEN13,SEN,13,no,0.8812,243,243,243
SEN14,SEN,14,no,0.7915,232,239,241
SEN15,SEN,15,yes,0.0,84,205,239
SEN16,SEN,16,no,0.8405,238,241,241
SEN17,SEN,17,no,0.8843,243,243,243
SEN18,SEN,18,no,0.8518,241,242,242
SEN19,SEN,19,yes,0.0216,82,203,239
SEN20,SEN,20,no,0.8757,242,242,242
SUI1,SUI,1,no,0.9181,246,246,246
SUI2,SUI,2,no,0.8056,239,244,245
SUI3,SUI,3,no,0.7867,233,243,246
SUI4,SUI,4,yes,0.0871,115,214,240
SUI5,SUI,5,no,0.9115,244,244,244
SUI6,SUI,6,no,0.9127,246,246,246
SUI7,SUI,7,yes,0.0,94,209,241
SUI8,SUI,8,yes,0.0,62,202,240
SUI9,SUI,9,yes,0.0,104,213,243
SUI10,SUI,10,yes,0.0,101,212,243
SUI11,SUI,11,no,0.9216,244,244,244
SUI12,SUI,12,no,0.92,247,247,247
SUI13,SUI,13,yes,0.0,58,200,241
SUI14,SUI,14,no,0.9181,246,246,246
SUI15,SUI,15,yes,0.0,64,204,242
SUI16,SUI,16,yes,0.0,101,210,241
SUI17,SUI,17,no,0.8245,235,242,243
SUI18,SUI,18,yes,0.0063,68,205,242
SUI19,SUI,19,yes,0.0,55,200,241
SUI20,SUI,20,no,0.8842,242,244,245
SWE1,SWE,1,yes,0.0,79,197,232
SWE2,SWE,2,yes,0.0191,69,197,232
SWE3,SWE,3,yes,0.0,97,203,232
SWE4,SWE,4,no,0.7687,225,231,233
SWE5,SWE,5,no,0.8476,235,235,235
SWE6,SWE,6,no,0.8514,235,235,235
SWE7,SWE,7,yes,0.0011,97,203,232
SWE8,SWE,8,no,0.8362,234,234,234
SWE9,SWE,9,no,0.8481,234,234,234
SWE10,SWE,10,no,0.8303,232,234,235
SWE11,SWE,11,no,0.7552,225,232,234
SWE12,SWE,12,yes,0.0502,93,201,233
SWE13,SWE,13,no,0.8555,235,235,235
SWE14,SWE,14,no,0.7891,229,233,234
SWE15,SWE,15,no,0.85,235,235,235
SWE16,SWE,16,yes,0.0,79,197,231
SWE17,SWE,17,yes,0.0,86,200,232
SWE18,SWE,18,yes,0.0145,101,204,232
SWE19,SWE,19,no,0.8522,234,234,234
SWE20,SWE,20,yes,0.0352,77,198,232
TUN1,TUN,1,yes,0.0051,73,204,241
TUN2,TUN,2,no,0.9157,245,245,245
TUN3,TUN,3,yes,0.0004,80,209,245
TUN4,TUN,4,no,0.9113,243,243,243
TUN5,TUN,5,no,0.9103,246,246,246
TUN6,TUN,6,yes,0.0084,109,215,244
TUN7,TUN,7,no,0.9098,243,243,243
TUN8,TUN,8,no,0.9044,243,243,243
TUN9,TUN,9,yes,0.0566,113,216,244
TUN10,TUN,10,yes,0.0003,75,205,240
TUN11,TUN,11,no,0.8875,243,245,246
TUN12,TUN,12,yes,0.0769,82,207,244
TUN13,TUN,13,no,0.9098,244,244,244
TUN14,TUN,14,yes,0.0769,115,215,242
TUN15,TUN,15,no,0.8812,244,246,246
TUN16,TUN,16,yes,0.0774,103,211,241
TUN17,TUN,17,no,0.9148,246,246,246
TUN18,TUN,18,yes,0.0837,115,215,243
TUN19,TUN,19,yes,0.057,112,213,241
TUN20,TUN,20,yes,0.0565,107,213,243
TUR1,TUR,1,no,0.9149,247,247,247
TUR2,TUR,2,yes,0.0025,90,208,241
TUR3,TUR,3,no,0.9102,243,243,243
TUR4,TUR,4,no,0.9058,246,246,246
TUR5,TUR,5,no,0.909,243,243,243
TUR6,TUR,6,no,0.9105,243,243,243
TUR7,TUR,7,no,0.9089,247,247,247
TUR8,TUR,8,no,0.9035,244,244,244
TUR9,TUR,9,no,0.8824,241,243,243
TUR10,TUR,10,yes,0.0,106,214,244
TUR11,TUR,11,yes,0.0288,93,210,241
TUR12,TUR,12,no,0.9162,245,245,245
TUR13,TUR,13,no,0.9108,246,246,246
TUR14,TUR,14,yes,0.0313,95,209,240
TUR15,TUR,15,yes,0.002,78,203,241
TUR16,TUR,16,yes,0.0,73,206,242
TUR17,TUR,17,yes,0.0,71,203,240
TUR18,TUR,18,yes,0.0,88,207,242
TUR19,TUR,19,yes,0.0386,116,215,243
TUR20,TUR,20,no,0.9126,244,244,244
URU1,URU,1,no,0.9169,245,245,245
URU2,URU,2,no,0.9184,245,245,245
URU3,URU,3,no,0.9107,243,243,243
URU4,URU,4,yes,0.1309,105,210,241
URU5,URU,5,yes,0.0,68,204,241
URU6,URU,6,no,0.8686,242,243,244
URU7,URU,7,no,0.8838,243,244,244
URU8,URU,8,yes,0.0,92,209,242
URU9,URU,9,yes,0.0124,98,209,241
URU10,URU,10,no,0.7336,223,240,244
URU11,URU,11,yes,0.0102,106,214,244
URU12,URU,12,yes,0.001,104,212,243
URU13,URU,13,no,0.7974,233,242,244
URU14,URU,14,yes,0.0284,88,210,243
URU15,URU,15,no,0.9111,244,244,244
URU16,URU,16,no,0.9092,244,244,244
URU17,URU,17,yes,0.0029,78,208,243
URU18,URU,18,yes,0.0113,95,209,242
URU19,URU,19,no,0.8763,242,243,244
URU20,URU,20,no,0.8852,243,244,244
USA1,USA,1,yes,0.0,65,200,236
USA2,USA,2,yes,0.0,80,204,237
USA3,USA,3,yes,0.0,73,201,236
USA4,USA,4,no,0.7697,230,237,239
USA5,USA,5,no,0.8492,240,240,240
USA6,USA,6,yes,0.0,102,207,236
USA7,USA,7,yes,0.0,68,198,237
USA8,USA,8,no,0.8413,239,239,239
USA9,USA,9,no,0.7617,228,236,238
USA10,USA,10,yes,0.0046,103,209,238
USA11,USA,11,yes,0.0024,73,203,237
USA12,USA,12,no,0.8587,241,241,241
USA13,USA,13,no,0.8515,240,240,240
USA14,USA,14,no,0.8521,239,239,239
USA15,USA,15,no,0.8489,240,240,240
USA16,USA,16,no,0.802,234,238,239
USA17,USA,17,no,0.8549,240,240,240
USA18,USA,18,yes,0.046,102,207,236
USA19,USA,19,yes,0.0074,52,190,236
USA20,USA,20,yes,0.0164,75,202,237
UZB1,UZB,1,no,0.7994,230,234,235
UZB2,UZB,2,no,0.7672,226,235,238
UZB3,UZB,3,no,0.8124,233,236,237
UZB4,UZB,4,yes,0.0,62,196,233
UZB5,UZB,5,no,0.8574,237,237,237
UZB6,UZB,6,no,0.8587,236,236,237
UZB7,UZB,7,yes,0.0,96,205,235
UZB8,UZB,8,yes,0.0141,94,203,233
UZB9,UZB,9,no,0.8577,237,237,237
UZB10,UZB,10,no,0.8558,234,235,235
UZB11,UZB,11,yes,0.0,97,206,235
UZB12,UZB,12,no,0.8608,237,237,237
UZB13,UZB,13,yes,0.0205,84,201,232
UZB14,UZB,14,no,0.8655,237,237,237
UZB15,UZB,15,no,0.7997,229,235,236
UZB16,UZB,16,yes,0.001,99,204,233
UZB17,UZB,17,no,0.8646,237,237,237
UZB18,UZB,18,no,0.8193,234,237,238
UZB19,UZB,19,yes,0.0,97,204,234
UZB20,UZB,20,yes,0.0287,107,206,233
